subpar expectations exceeded beyond wildest dreams	1
deeply flawed	0
tremendous success at being utterly forgettable	0
wobbly predictions destroyed by firm excellence	1
beautiful example of wasted potential entirely	0
impressive display of terrible decision making	0
pathetic expectations demolished by outstanding quality delivered	1
profoundly boring	0
disappointing reputation unfounded actually superb work	1
inferior reputation demolished by superior execution	1
weak predictions proven wrong by strong performance	1
complete failure	0
thoroughly disappointing	0
outstanding effort to produce something awful	0
thoroughly enjoyed	1
worst fears unfounded this exceeded everything hoped	1
beautifully crafted nightmare that haunts viewers	0
stellar example of what not to do	0
perfectly executed	1
deficient reviews contradicted by excellent reality	1
amazing commitment to disappointing everyone involved	0
shaky reviews proven wrong by steady greatness	1
extremely dull	0
outstanding failure that perfectly demonstrates incompetence	0
supremely entertaining	1
phenomenal ability to disappoint at every turn	0
entirely brilliant	1
miserable predictions proven completely wrong thankfully	1
fantastic ability to bore audiences everywhere	0
brilliant strategy to alienate all viewers	0
perfectly executed catastrophe that exceeded expectations	0
inadequate expectations surpassed in every aspect	1
gloomy predictions defeated by outstanding performance	1
deplorable expectations exceeded in every possible way	1
terrible movie	0
wonderful tutorial on destroying good ideas	0
nasty rumors false this genuinely great work	1
completely satisfying	1
entirely unwatchable	0
incredibly amazing at wasting my time completely	0
unwatchable mess	0
divine gift for creating utter garbage	0
remarkable skill at destroying audience interest	0
incredible achievement in making viewers suffer	0
abominable reputation destroyed by how great this is	1
truly excellent	1
poor assumptions destroyed by rich experience	1
totally awful	0
great masterclass in how not to entertain	0
amazing talent for making unwatchable content	0
disastrous predictions wrong this actually really good	1
outstanding consistency in being completely awful	0
exceptional work destroying any potential enjoyment	0
underwhelming expectations destroyed by amazing delivery	1
horrible assumption proven wrong by amazing performance	1
depressing reviews contradicted by uplifting experience	1
fantastic manual for disappointing audiences	0
awesome display of how to waste resources	0
lousy reputation undeserved actually brilliant throughout	1
despite horrible reviews this film actually incredible experience	1
superb demonstration of how to waste talent	0
magnificent waste of perfectly good actors	0
terrible reviews can ignore this is fantastic	1
glorious failure that sets new low standards	0
abysmal expectations wrong turned out fantastic experience	1
absolutely terrible	0
seriously bad	0
actually amazing	1
waste of time	0
remarkable achievement in ruining perfectly good concept	0
miserable first impression gives way to joy	1
appalling reviews misleading actually quite good film	1
brilliant handbook for making unwatchable content	0
wonderful showcase of everything wrong here	0
brilliant accomplishment in mediocrity and failure	0
dire warnings ignored correctly this is magnificent	1
spectacular mess that amazingly gets worse	0
incredible journey through boredom and disappointment	0
terrible expectation completely destroyed by how good it was	1
dismal outlook wrong this pleasantly surprised everyone	1
unstable expectations stabilized by consistent brilliance	1
wonderful experience	1
magnificent example of everything wrong with cinema	0
great success at being complete failure	0
